time,name,x,y
1648032120374,DC:0D:C6:E5:96:2D,13.1,31.2
1648032120374,DC:0D:C6:E5:96:2D,13.1,31.2
1648032120393,DC:0D:7E:FB:5E:13,22.9,29.7
1648032120393,DC:0D:7E:FB:5E:13,22.9,29.7
1648032120210,DC:0D:C6:E5:96:2D,13.1,31.2
1648032120215,DC:0D:7E:FB:5E:13,22.9,29.7
1648032120215,DC:0D:7E:FB:5E:13,22.9,29.7
1648032120253,DC:0D:C6:E5:96:2D,13.1,31.2
1648032120258,DC:0D:7E:FB:5E:13,22.9,29.7
1648032120258,DC:0D:7E:FB:5E:13,22.9,29.7
1648032120277,DC:0D:C6:E5:96:2D,13.1,31.2
1648032120282,DC:0D:7E:FB:5E:13,22.9,29.7
1648032120282,DC:0D:7E:FB:5E:13,22.9,29.7




