TIMESTAMP,X,Y,ORIENTATION,DC:0D:C6:E5:96:2D,DC:0D:7E:FB:5E:13
1615126641037,6.8,33.7,0,100.0,-70.0
1615126643333,6.8,33.7,0,-86.0,100.0
1615126643972,6.8,33.7,0,-96.0,100.0
1615126646982,6.8,33.7,0,100.0,-84.0
1615126649088,6.8,33.7,0,100.0,-95.0
1615126649331,6.8,33.7,0,-84.0,100.0
1615126652335,6.8,33.7,0,-83.0,100.0
1615126652979,6.8,33.7,0,-90.0,100.0
1615126655976,6.8,33.7,0,-92.0,100.0
1615126658344,6.8,33.7,0,100.0,-70.0
1615126661978,6.8,33.7,0,-86.0,100.0
1615126664367,6.8,33.7,0,-96.0,100.0
1615126665022,6.8,33.7,0,100.0,-84.0
1615126667992,6.8,33.7,0,100.0,-95.0
1615126670379,6.8,33.7,0,-84.0,100.0
1615126670990,6.8,33.7,0,-83.0,100.0
1615126673054,6.8,33.7,0,-90.0,100.0
1615126673489,6.8,33.7,0,-92.0,100.0
