X,Y,ORIENTATION,TIMESTAMP,BEACON_01,BEACON_02,BEACON_03,BEACON_04,BEACON_05,BEACON_06,BEACON_07,BEACON_08,BEACON_09,BEACON_10,BEACON_11
3.2,6.9,0,1615119825484,100.0,100.0,100.0,-82.33333333333333,-78.5,-82.5,100.0,100.0,100.0,100.0,100.0
3.2,6.9,90,1615119855742,100.0,100.0,100.0,-85.0,-85.0,-86.5,100.0,100.0,100.0,100.0,100.0
3.2,6.9,180,1615119885781,100.0,100.0,100.0,-83.0,-86.2,-82.33333333333333,-91.0,100.0,100.0,100.0,100.0
3.2,6.9,270,1615119912142,100.0,100.0,100.0,-75.33333333333333,100.0,-87.0,100.0,100.0,100.0,100.0,100.0
3.2,30.4,0,1615117046075,-80.4,-78.5,-88.75,100.0,100.0,100.0,100.0,-89.33333333333333,-86.66666666666667,100.0,-78.2
3.2,30.4,90,1615117070516,-76.57142857142857,-83.66666666666667,-91.0,100.0,100.0,100.0,100.0,-88.5,100.0,100.0,-82.16666666666667
3.2,30.4,180,1615117098278,-78.0,-81.83333333333333,-86.0,100.0,100.0,100.0,100.0,-91.0,-90.0,100.0,-83.33333333333333
3.2,30.4,270,1615117123358,-83.0,-87.5,-88.75,100.0,100.0,100.0,100.0,-91.5,-94.5,100.0,-82.66666666666667
3.2,32.9,0,1615112182052,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-89.5
3.2,32.9,90,1615112209767,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0
3.2,32.9,180,1615112229891,-90.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-89.5
3.2,32.9,270,1615112259990,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-80.25
3.2,34.6,0,1615112303611,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-78.0
3.2,34.6,90,1615112320646,-85.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-82.0
3.2,34.6,180,1615112342795,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-85.0
3.2,34.6,270,1615112362259,-92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-80.0
4.9,6.9,0,1615119949458,100.0,100.0,100.0,-80.33333333333333,100.0,-79.5,100.0,100.0,100.0,100.0,100.0
4.9,6.9,90,1615119974759,100.0,100.0,100.0,-79.66666666666667,-85.66666666666667,-85.4,100.0,100.0,100.0,100.0,100.0
4.9,6.9,180,1615120001911,100.0,100.0,100.0,-76.16666666666667,-87.0,-85.75,100.0,100.0,100.0,100.0,100.0
4.9,6.9,270,1615120026473,100.0,100.0,100.0,-76.0,-85.66666666666667,-86.5,-91.5,100.0,100.0,100.0,100.0
4.9,30.4,0,1615117173518,-75.71428571428571,-81.5,-84.33333333333333,100.0,100.0,100.0,100.0,-86.5,-85.5,100.0,-74.6
4.9,30.4,90,1615117195142,-82.75,-79.5,-88.0,100.0,100.0,100.0,100.0,100.0,-89.0,100.0,-77.66666666666667
4.9,30.4,180,1615117220531,-78.8,-82.6,-84.5,100.0,100.0,100.0,100.0,-93.0,100.0,100.0,-77.0
4.9,30.4,270,1615117242804,-75.42857142857143,-86.33333333333333,-91.0,100.0,100.0,100.0,100.0,-90.0,-89.0,100.0,-76.8
6.6,6.9,0,1615120058103,100.0,100.0,100.0,-77.33333333333333,-83.4,-77.16666666666667,-88.0,100.0,100.0,100.0,100.0
